epoch,episode length
0,24.0
1,25.93
2,25.43
3,27.0
4,29.66
5,28.39
6,28.76
7,28.84
8,30.28
9,31.09
10,30.81
11,31.16
12,29.82
13,31.57
14,32.19
15,34.22
16,33.75
17,32.69
18,32.2
19,35.3
20,35.3
21,35.5
22,36.19
23,35.7
24,37.86
25,35.71
26,36.4
27,37.64
28,38.85
29,37.65
30,37.11
31,38.59
32,39.65
33,39.32
34,40.29
35,37.29
36,39.01
37,39.57
38,40.79
39,36.95
40,40.82
41,37.72
42,38.38
43,37.55
44,38.85
45,39.01
46,38.31
47,36.27
48,36.15
49,37.86
50,38.61
51,38.22
52,37.69
53,38.77
54,37.26
55,36.52
56,39.78
57,37.54
58,35.06
59,37.75
60,38.54
61,38.57
62,36.8
63,39.1
64,38.17
65,39.63
66,39.18
67,39.11
68,38.26
69,39.87
70,39.8
71,39.93
72,39.65
73,41.32
74,37.98
75,37.62
76,40.16
77,40.27
78,42.17
79,39.29
80,42.44
81,39.45
82,39.54
83,39.48
84,39.16
85,39.83
86,39.0
87,37.46
88,39.28
89,39.99
90,39.1
91,40.01
92,38.94
93,35.64
94,39.58
95,39.41
96,38.61
97,38.97
98,41.62
99,40.42
100,37.86
101,38.73
102,38.66
103,39.26
104,37.47
105,39.16
106,40.35
107,38.01
108,39.91
109,42.0
110,37.74
111,37.12
112,36.7
113,36.6
114,37.17
115,39.15
116,37.2
117,40.89
118,38.07
119,36.81
120,36.57
121,34.37
122,37.49
123,36.9
124,35.86
125,36.98
126,35.33
127,34.25
128,35.02
129,33.79
130,35.01
131,35.22
132,37.46
133,34.6
134,36.28
135,37.23
136,36.66
137,34.89
138,36.45
139,36.44
140,37.12
141,36.11
142,37.77
143,35.09
144,35.53
145,37.08
146,38.0
147,39.74
148,36.6
149,37.94
150,38.29
151,41.76
152,36.96
153,38.92
154,40.53
155,39.28
156,41.84
157,40.52
158,40.89
159,39.3
160,42.7
161,41.65
162,39.54
163,42.56
164,42.87
165,44.5
166,44.35
167,44.65
168,49.72
169,47.15
170,47.09
171,44.38
172,49.08
173,45.04
174,51.98
175,53.44
176,49.5
177,47.56
178,50.05
179,49.72
180,51.2
181,51.52
182,51.66
183,53.63
184,50.37
185,49.28
186,55.85
187,54.3
188,54.09
189,57.6
190,53.34
191,57.84
192,53.48
193,58.33
194,55.7
195,53.67
196,62.32
197,54.75
198,61.63
199,58.44
200,54.21
201,56.39
202,63.04
203,60.78
204,64.62
205,68.43
206,61.59
207,72.59
208,68.46
209,65.74
210,69.24
211,68.42
212,76.8
213,72.13
214,76.72
215,68.78
216,72.75
217,71.27
218,82.52
219,74.99
220,73.75
221,75.61
222,85.1
223,85.02
224,84.84
225,83.1
226,87.94
227,83.61
228,88.13
229,87.76
230,90.82
231,94.47
232,83.72
233,93.42
234,86.95
235,95.39
236,99.06
237,90.56
238,101.15
239,95.97
240,105.15
241,99.66
242,110.09
243,105.84
244,114.76
245,115.09
246,104.76
247,121.91
248,112.64
249,109.92
250,115.78
251,117.17
252,114.76
253,115.82
254,117.64
255,119.08
256,119.23
257,116.45
258,127.02
259,138.16
260,134.38
261,132.14
262,131.53
263,133.58
264,144.17
265,127.85
266,149.0
267,134.11
268,155.92
269,149.51
270,154.67
271,156.68
272,151.47
273,169.64
274,157.81
275,187.36
276,186.2
277,167.76
278,160.53
279,197.05
280,182.05
281,201.08
282,194.05
283,177.27
284,202.91
285,202.57
286,208.05
287,200.28
288,206.78
289,203.53
290,212.53
291,214.22
292,244.03
293,258.88
294,247.92
295,260.95
296,238.6
297,256.67
298,253.24
299,251.44
300,257.49
301,294.05
302,299.49
303,305.36
304,305.05
305,324.91
306,305.78
307,305.78
308,343.09
309,368.57
310,383.83
311,385.03
312,396.13
313,432.27
314,411.78
315,458.76
316,436.2
317,497.92
318,443.19
319,504.61
320,482.23
321,471.07
322,498.74
323,578.37
324,576.69
325,590.25
326,602.67
327,588.31
328,608.15
329,613.1
330,642.2
331,640.73
332,705.22
333,703.65
334,698.21
335,701.39
336,693.51
337,689.16
338,710.82
339,740.39
340,772.01
341,749.97
342,749.03
343,703.88
344,788.6
345,800.22
346,756.65
347,802.9
348,751.15
349,812.65
350,817.66
351,800.58
352,792.78
353,790.73
354,793.37
355,812.44
356,832.1
357,805.7
358,840.55
359,829.87
360,803.25
361,825.47
362,891.42
363,862.9
364,857.41
365,857.84
366,905.2
367,855.67
368,826.5
369,851.95
370,907.76
371,873.11
372,845.14
373,881.28
374,847.7
375,871.66
376,855.49
377,870.95
378,850.55
379,875.02
380,843.31
