epoch,returns
0,-7.005
1,-3.887
2,-3.007
3,-3.155
4,-3.875
5,-2.994
6,-3.275
7,-3.229
8,-3.411
9,-4.008
10,-3.514
11,-4.191
12,-3.225
13,-3.376
14,-3.044
15,-3.071
16,-3.7
17,-3.274
18,-2.964
19,-3.366
20,-3.478
21,-2.958
22,-3.342
23,-3.876
24,-3.757
25,-3.51
26,-3.123
27,-3.597
28,-2.788
29,-3.576
30,-2.978
31,-3.299
32,-3.238
33,-3.591
34,-3.02
35,-3.43
36,-3.082
37,-3.064
38,-2.879
39,-2.972
40,-3.441
41,-2.296
42,-2.62
43,-2.748
44,-2.592
45,-3.056
46,-2.619
47,-2.669
48,-1.878
49,-2.901
50,-2.015
51,-2.826
52,-2.253
53,-2.66
54,-2.804
55,-2.15
56,-2.324
57,-2.874
58,-2.397
59,-2.239
60,-3.016
61,-2.733
62,-2.384
63,-2.594
64,-2.137
65,-2.289
66,-2.343
67,-3.027
68,-2.226
69,-2.395
70,-2.398
71,-2.204
72,-1.992
73,-2.209
74,-2.218
75,-1.836
76,-1.818
77,-1.618
78,-1.422
79,-2.69
80,-1.665
81,-2.361
82,-2.052
83,-2.338
84,-2.007
85,-2.144
86,-2.167
87,-1.365
88,-2.086
89,-0.911
90,-1.263
91,-1.882
92,-1.471
93,-2.23
94,-1.234
95,-1.746
96,-1.996
97,-1.428
98,-1.321
99,-1.336
100,-1.78
101,-1.482
102,-1.15
103,-1.439
104,-1.475
105,-1.418
106,-1.263
107,-1.25
108,-1.989
109,-1.535
110,-0.95
111,-0.966
112,-1.176
113,-1.924
114,-1.208
115,-1.45
116,-1.754
117,-1.64
118,-0.807
119,-1.008
120,-1.091
121,-1.354
122,-1.5
123,-1.285
124,-1.586
125,-1.274
126,-0.973
127,-1.313
128,-1.084
129,-0.909
130,-1.488
131,-1.343
132,-1.255
133,-1.048
134,-1.144
135,-1.25
136,-0.905
137,-1.143
138,-0.843
139,-1.334
140,-0.819
141,-0.61
142,-0.797
143,-0.94
144,-0.891
145,-1.098
146,-0.896
147,-0.815
148,-1.015
149,-0.912
150,-0.747
151,-0.836
152,-0.766
153,-0.647
154,-0.543
155,-0.816
156,-0.546
157,-0.54
158,-0.73
159,-0.833
160,-0.915
161,-0.396
162,-0.53
163,-0.535
164,-0.62
165,-0.289
166,-0.401
167,-0.7
168,-0.601
169,-0.358
170,-0.209
171,-0.46
172,-0.187
173,-0.27
174,-0.014
175,-0.777
176,-0.29
177,0.221
178,0.083
179,-0.199
180,-0.019
181,-0.121
182,-0.319
183,0.028
184,-0.009
185,0.01
186,0.224
187,0.059
188,0.253
189,0.559
190,0.425
191,0.311
192,0.158
193,0.682
194,0.307
195,0.287
196,0.658
197,0.286
198,0.442
199,0.581
200,0.428
201,0.606
202,0.908
203,0.643
204,0.67
205,0.897
206,0.436
207,0.93
208,1.224
209,1.049
210,0.999
211,0.984
212,1.218
213,1.19
214,1.597
215,0.938
216,1.497
